variety_name,crop,segment,plant_characteristics,fruit_characteristics,resistance_codes,cultivation_environment,description,variety_names.country,variety_names.commercial_name,variety_names.registration_status
152-689,,,,,,,,Mexico,152-689 F1,In Progress
152-689,,,,,,,,Mexico,YEN?ER? F1,In Progress
152-689,,,,,,,,Cyprus,YEN?ER? F1,In Progress
152-689,,,,,,,,Saudi Arabia,NOVA F1,In Progress
152-690,Tomato,,"Indeterminate Round Cherry tomato, vigorous plant, early. HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV","Round, red color, firm, 5-10 g.",,"Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate Round Cherry tomato, vigorous plant, early. HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV
Fruit: Round, red color, firm, 5-10 g.
Cultivation: Autumn, winter and spring seasons in greenhouse.",,,
152-707,Tomato,,"Indeterminate Cherry Tomato, short internodes, very early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Dark red color, oval shape, firm,10-15 gr.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate Cherry Tomato, short internodes, very early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV
Fruit: Dark red color, oval shape, firm,10-15 gr.
Cultivation: Autumn and spring seasons in greenhouse.",,,
152-724,Tomato,,"Indeterminate Pink Cherry Tomato, short internodes, very early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Pink color, pear shape, firm, 10-15 gr.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate Pink Cherry Tomato, short internodes, very early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV
Fruit: Pink color, pear shape, firm, 10-15 gr.
Cultivation: Autumn and spring seasons in greenhouse.",Panama,152-724 F1,In Progress
152-728,Tomato,,"Indeterminate pink oval cherry tomato, vigorous plant, dark green leaves, short internodes. HR: ToMV, Vd, Va, Fol 0-1","Oval, pink color, 25-30 gr, productive.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate pink oval cherry tomato, vigorous plant, dark green leaves, short internodes. HR: ToMV, Vd, Va, Fol 0-1
Fruit: Oval, pink color, 25-30 gr, productive.
Cultivation: Autumn and spring seasons in greenhouse.",,,
152-820,Tomato,,"Indeterminate loose red heirloom tomato, very vigorous plant , short internodes, tolerant to cold conditions.","Flat, sliced, red color, firm, 280 gr, perfect taste and aroma.","HR: ToMV, Vd, Va, Fol 0, For, Ff A-E",Winter season in greenhouse.,"Plant: Indeterminate loose red heirloom tomato, very vigorous plant , short internodes, tolerant to cold conditions.
Fruit: Flat, sliced, red color, firm, 280 gr, perfect taste and aroma.
Cultivation: Winter season in greenhouse.",Azerbaijan,GVHER F1,In Progress
152-820,,,,,,,,Spain,LACHAMAN  F1,In Progress
152-820,,,,,,,,Cyprus,TEKKY F1,In Progress
152-820,,,,,,,,Austria,LACHAMAN F1,In Progress
152-820,,,,,,,,Belgium,LACHAMAN F1,In Progress
152-820,,,,,,,,Bulgaria,LACHAMAN F1,In Progress
152-820,,,,,,,,Croatia,LACHAMAN F1,In Progress
152-820,,,,,,,,Cyprus,LACHAMAN F1,In Progress
152-820,,,,,,,,Czech Republic,LACHAMAN F1,In Progress
152-820,,,,,,,,Denmark,LACHAMAN F1,In Progress
152-820,,,,,,,,Estonia,LACHAMAN F1,In Progress
152-820,,,,,,,,Finland,LACHAMAN F1,In Progress
152-820,,,,,,,,France,LACHAMAN F1,In Progress
152-820,,,,,,,,Germany,LACHAMAN F1,In Progress
152-820,,,,,,,,Greece,LACHAMAN F1,In Progress
152-820,,,,,,,,Hungary,LACHAMAN F1,In Progress
152-820,,,,,,,,Ireland,LACHAMAN F1,In Progress
152-820,,,,,,,,Italy,LACHAMAN F1,In Progress
152-820,,,,,,,,Latvia,LACHAMAN F1,In Progress
152-820,,,,,,,,Lithuania,LACHAMAN F1,In Progress
152-820,,,,,,,,Luxembourg,LACHAMAN F1,In Progress
152-820,,,,,,,,Malta,LACHAMAN F1,In Progress
152-820,,,,,,,,Netherlands,LACHAMAN F1,In Progress
152-820,,,,,,,,Poland,LACHAMAN F1,In Progress
152-820,,,,,,,,Portugal,LACHAMAN F1,In Progress
152-820,,,,,,,,Romania,LACHAMAN F1,In Progress
152-820,,,,,,,,Slovakia,LACHAMAN F1,In Progress
152-820,,,,,,,,Sierra Leone,LACHAMAN F1,In Progress
152-820,,,,,,,,Spain,LACHAMAN F1,In Progress
152-820,,,,,,,,Sweden,LACHAMAN F1,In Progress
161-505,Tomato,,"Indeterminate Round Cocktail tomato, vigorous plant, early. HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV","Red color, firm, early, productive.",,"Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate Round Cocktail tomato, vigorous plant, early. HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV
Fruit: Red color, firm, early, productive.
Cultivation: Autumn, winter and spring seasons in greenhouse.",,,
161-566,Tomato,,"Indeterminate tomato, vigorous plant, short internodes, big size leaves, productive. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV, Ma, Mi, Mj","Flat, red color, firm, 200-220 gr.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate tomato, vigorous plant, short internodes, big size leaves, productive. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV, Ma, Mi, Mj
Fruit: Flat, red color, firm, 200-220 gr.
Cultivation: Autumn and spring seasons in greenhouse.",,,
161-586,Tomato,,"Indeterminate tomato, vigorous plant, big size leaves, mid-early. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV, TSWV, Ma, Mi,
Mj","Red color, slightly flat, 220-240 g, firm.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate tomato, vigorous plant, big size leaves, mid-early. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV, TSWV, Ma, Mi,
Mj
Fruit: Red color, slightly flat, 220-240 g, firm.
Cultivation: Autumn and spring seasons in greenhouse.",,,
161-611,Tomato,,"Indeterminate tomato, very vigorous plant, big size leaves, early. HR: ToMV, Vd, Va, Fol 0-1 / IR: TSWV","Red color, slightly flat, very firm, 240-260 g, very productive.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate tomato, very vigorous plant, big size leaves, early. HR: ToMV, Vd, Va, Fol 0-1 / IR: TSWV
Fruit: Red color, slightly flat, very firm, 240-260 g, very productive.
Cultivation: Autumn and spring seasons in greenhouse.",Belarus,ROCKETS F1,In Progress
161-611,,,,,,,,Ukraine,ROCKETS F1,In Progress
161-612,Tomato,,"Indeterminate tomato, vigorous plant, short internodes, early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV.","Slightly flat, red color, firm, 240-260 gr.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate tomato, vigorous plant, short internodes, early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV.
Fruit: Slightly flat, red color, firm, 240-260 gr.
Cultivation: Autumn and spring seasons in greenhouse.",Jordan,161-612 F1,In Progress
161-625,Tomato,,"Indeterminate tomato, vigorous plant, mid-early. HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV, TSWV, Ma, Mi,
Mj","Red color, slightly flat, firm, 220-240 g.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate tomato, vigorous plant, mid-early. HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV, TSWV, Ma, Mi,
Mj
Fruit: Red color, slightly flat, firm, 220-240 g.
Cultivation: Autumn and spring seasons in greenhouse.",,,
162-184,Tomato,,"Indeterminate tomato, vigorous plant, early, productive. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV, TSWV","Dark red color, slightly flat, 210-230 g, firm.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate tomato, vigorous plant, early, productive. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV, TSWV
Fruit: Dark red color, slightly flat, 210-230 g, firm.
Cultivation: Autumn and spring seasons in greenhouse.",,,
162-195,Tomato,,"Indeterminate tomato, vigorous plant, short internodes. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV","Slightly flat fuit, slightly ribbed, firm, 230-250 g, productive.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate tomato, vigorous plant, short internodes. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV
Fruit: Slightly flat fuit, slightly ribbed, firm, 230-250 g, productive.
Cultivation: Autumn and spring seasons in greenhouse.",,,
162-197,Tomato,,"Indeterminate tomato, vigorous plant, short internodes. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV,TSWV, Ma, Mi, Mj","Slightly flat fuit, firm, 200-220 g, productive.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate tomato, vigorous plant, short internodes. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV,TSWV, Ma, Mi, Mj
Fruit: Slightly flat fuit, firm, 200-220 g, productive.
Cultivation: Autumn and spring seasons in greenhouse.",,,
162-200,Tomato,,"Indeterminate tomato, strong plant, very short internodes, mid-early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TSWV","Red color, slightly flat, firm, 250-270 gr, very productive.",,Autumn and spring seasons in greenhouse and open field.,"Plant: Indeterminate tomato, strong plant, very short internodes, mid-early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TSWV
Fruit: Red color, slightly flat, firm, 250-270 gr, very productive.
Cultivation: Autumn and spring seasons in greenhouse and open field.",,,
162-211,Tomato,,"Indeterminate beef tomato, strong plant, very short internodes. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Red color, slightly flat, firm, 310 - 330 gr.",,Autumn and spring seasons in greenhouse and open field.,"Plant: Indeterminate beef tomato, strong plant, very short internodes. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV
Fruit: Red color, slightly flat, firm, 310 - 330 gr.
Cultivation: Autumn and spring seasons in greenhouse and open field.",,,
162-212,Tomato,,"Indeterminate tomato, strong plant, dark green leaves color, short internodes.","Red color, slightly flat, firm, 240-260 gr, very productive.","HR: ToMV, Va, Vd, Fol 0-1-2, For, Ff A-E / IR: TYLCV, TSWV,
Ma, Mi, Mj",Autumn and spring seasons in greenhouse and open field.,"Plant: Indeterminate tomato, strong plant, dark green leaves color, short internodes.
Fruit: Red color, slightly flat, firm, 240-260 gr, very productive.
Cultivation: Autumn and spring seasons in greenhouse and open field.",Argentina,162-218 F1,In Progress
162-217,Tomato,,"Indeterminate tomato, very vigorous plant, mid-early. HR: ToMV, Va, Vd, Fol 0-1, For / Iyr: TYLCV, TSWV,
Ma, Mi, Mj","Slightly flat, red color, firm, 240-260 g.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate tomato, very vigorous plant, mid-early. HR: ToMV, Va, Vd, Fol 0-1, For / Iyr: TYLCV, TSWV,
Ma, Mi, Mj
Fruit: Slightly flat, red color, firm, 240-260 g.
Cultivation: Autumn and spring seasons in greenhouse.",,,
162-218,Tomato,,"Indeterminate tomato, strong plant, dark green leaves color, short internodes. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TSWV,
Ma, Mi, Mj","Red color, slightly flat, firm, 280 - 300 gr.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate tomato, strong plant, dark green leaves color, short internodes. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TSWV,
Ma, Mi, Mj
Fruit: Red color, slightly flat, firm, 280 - 300 gr.
Cultivation: Autumn and spring seasons in greenhouse.",,,
162-260,Tomato,,"Indeterminate tomato, very vigorous, early.","Dark red color, slightly flat, firm, 230-250g, 5-6 fruits per cluster.","HR: ToMV, Vd, Va, Fol 0-1, For,Cf-5 / IR: TYLCV, TSWV,
Ma, Mi, Mj",Autumn and winter seasons in greenhouse.,"Plant: Indeterminate tomato, very vigorous, early.
Fruit: Dark red color, slightly flat, firm, 230-250g, 5-6 fruits per cluster.
Cultivation: Autumn and winter seasons in greenhouse.",Cyprus,TURAN F1,In Progress
162-261,Tomato,,"Indeterminate tomato, very vigorous plant, mid-early.","Red color, slightly flat, firm, 5-6 fruit per cluster.","HR: ToMV, Vd, Va, Fol 0-1, For,Cf9 / IR: TYLCV, TSWV",Autumn and winter seasons in greenhouse.,"Plant: Indeterminate tomato, very vigorous plant, mid-early.
Fruit: Red color, slightly flat, firm, 5-6 fruit per cluster.
Cultivation: Autumn and winter seasons in greenhouse.",Libya,162-261 F1,In Progress
162-261,,,,,,,,Jordan,162-261 F1,In Progress
162-263,Tomato,,"Indeterminate tomato, vigorous plant, short internodes, early, very productive.","Dark red color, slightly flat, 200-220 g, firm, 5-6 fruits per cluster.","HR: ToMV, Vd, Va, Fol 0-1, For
/ IR: TYLCV, TSWV, Ma, Mi, Mj",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate tomato, vigorous plant, short internodes, early, very productive.
Fruit: Dark red color, slightly flat, 200-220 g, firm, 5-6 fruits per cluster.
Cultivation: Autumn and spring seasons in greenhouse.",Jordan,162-263 F1,In Progress
162-265,Tomato,,"Indeterminate tomato, mid-vigorous plant, early, high production.","5-6 fruits per cluster, dark red color, slightly flat, very firm, 250 gr, high quality.","HR: ToMV, Vd, Va, Fol 0-1, For
/ IR: TYLCV, TSWV, Ma, Mi, Mj,
Ss",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate tomato, mid-vigorous plant, early, high production.
Fruit: 5-6 fruits per cluster, dark red color, slightly flat, very firm, 250 gr, high quality.
Cultivation: Autumn and spring seasons in greenhouse.",United Arab Emirates,162-265 F1,In Progress
162-265,,,,,,,,Jordan,162-265 F1,In Progress
162-265,,,,,,,,Kazakhstan,AYM?RA F1,In Progress
162-265,,,,,,,,Chile,ALTAR F1,In Progress
162-267,Tomato,,"Indeterminate tomato, strong plant, short internodes, mid-early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV","Red color, slightly flat, slightly sliced, firm, 230-250 gr.",,Autumn and spring seasons in greenhouse.,"Plant: Indeterminate tomato, strong plant, short internodes, mid-early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV
Fruit: Red color, slightly flat, slightly sliced, firm, 230-250 gr.
Cultivation: Autumn and spring seasons in greenhouse.",,,
162-271,Tomato,,"Indeterminate round loose tomato, vigorous plant, short internodes, compact, early.","Dark red color, open-star calyx, slightly flat, 210-230 gr, firm, very productive.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-E / IR: TYLCV",Autumn and spring seasons in greenhouse and open field.,"Plant: Indeterminate round loose tomato, vigorous plant, short internodes, compact, early.
Fruit: Dark red color, open-star calyx, slightly flat, 210-230 gr, firm, very productive.
Cultivation: Autumn and spring seasons in greenhouse and open field.",Saudi Arabia,MALIHA  F1,In Progress
162-271,,,,,,,,Spain,AZARBE F1,In Progress
162-271,,,,,,,,Austria,AZARBE F1,In Progress
162-271,,,,,,,,Belgium,AZARBE F1,In Progress
162-271,,,,,,,,Bulgaria,AZARBE F1,In Progress
162-271,,,,,,,,Croatia,AZARBE F1,In Progress
162-271,,,,,,,,Cyprus,AZARBE F1,In Progress
162-271,,,,,,,,Czech Republic,AZARBE F1,In Progress
162-271,,,,,,,,Denmark,AZARBE F1,In Progress
162-271,,,,,,,,Estonia,AZARBE F1,In Progress
162-271,,,,,,,,Finland,AZARBE F1,In Progress
162-271,,,,,,,,France,AZARBE F1,In Progress
162-271,,,,,,,,Germany,AZARBE F1,In Progress
162-271,,,,,,,,Greece,AZARBE F1,In Progress
162-271,,,,,,,,Hungary,AZARBE F1,In Progress
162-271,,,,,,,,Ireland,AZARBE F1,In Progress
162-271,,,,,,,,Italy,AZARBE F1,In Progress
162-271,,,,,,,,Latvia,AZARBE F1,In Progress
162-271,,,,,,,,Lithuania,AZARBE F1,In Progress
162-271,,,,,,,,Luxembourg,AZARBE F1,In Progress
162-271,,,,,,,,Malta,AZARBE F1,In Progress
162-271,,,,,,,,Netherlands,AZARBE F1,In Progress
162-271,,,,,,,,Poland,AZARBE F1,In Progress
162-271,,,,,,,,Portugal,AZARBE F1,In Progress
162-271,,,,,,,,Romania,AZARBE F1,In Progress
162-271,,,,,,,,Slovakia,AZARBE F1,In Progress
162-271,,,,,,,,Sierra Leone,AZARBE F1,In Progress
162-271,,,,,,,,Sweden,AZARBE F1,In Progress
162-271,,,,,,,,China,FIDEL F1,In Progress
162-271,,,,,,,,Taiwan,FORMOSA F1,In Progress
162-271,,,,,,,,Taiwan,162-271,In Progress
162-296,Tomato,,"Indeterminate tomato, very vigorous plant, short internodes, early.","Slightly flat, slightly ribbed, dark red color, very firm, 220-240 g,  very productive.","HR: ToMV, Vd, Va, Fol 0-1, For, Ff A-E / IR: TYLCV, TSWV, Ma,
Mi, Mj",Autumn and winter seasons in greenhouse.,"Plant: Indeterminate tomato, very vigorous plant, short internodes, early.
Fruit: Slightly flat, slightly ribbed, dark red color, very firm, 220-240 g,  very productive.
Cultivation: Autumn and winter seasons in greenhouse.",China,DEMIRIS F1,In Progress
162-296,,,,,,,,China,RUIJIA 160 F1,In Progress
162-296,,,,,,,,Uzbekistan,MUSA F1,In Progress
162-296,,,,,,,,Kazakhstan,KALKAN F1,In Progress
162-312,Tomato,,"Indeterminate pink tomato, very vigorous plant, early, short internodes.","Slightly flat, intensive pink color, firm, 210-230 gr.","HR: ToMV, Vd, Va, Fol 0-1, For, Ff A-E / IR: TYLCV, Ma,
Mi, Mj, Ss","Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate pink tomato, very vigorous plant, early, short internodes.
Fruit: Slightly flat, intensive pink color, firm, 210-230 gr.
Cultivation: Autumn, winter and spring seasons in greenhouse.",Austria,KUNZITA F1,In Progress
162-312,,,,,,,,Belgium,KUNZITA F1,In Progress
162-312,,,,,,,,Bulgaria,KUNZITA F1,In Progress
162-312,,,,,,,,Croatia,KUNZITA F1,In Progress
162-312,,,,,,,,Cyprus,KUNZITA F1,In Progress
162-312,,,,,,,,Czech Republic,KUNZITA F1,In Progress
162-312,,,,,,,,Denmark,KUNZITA F1,In Progress
162-312,,,,,,,,Estonia,KUNZITA F1,In Progress
162-312,,,,,,,,Finland,KUNZITA F1,In Progress
162-312,,,,,,,,France,KUNZITA F1,In Progress
162-312,,,,,,,,Germany,KUNZITA F1,In Progress
162-312,,,,,,,,Greece,KUNZITA F1,In Progress
162-312,,,,,,,,Hungary,KUNZITA F1,In Progress
162-312,,,,,,,,Ireland,KUNZITA F1,In Progress
162-312,,,,,,,,Italy,KUNZITA F1,In Progress
162-312,,,,,,,,Latvia,KUNZITA F1,In Progress
162-312,,,,,,,,Lithuania,KUNZITA F1,In Progress
162-312,,,,,,,,Luxembourg,KUNZITA F1,In Progress
162-312,,,,,,,,Malta,KUNZITA F1,In Progress
162-312,,,,,,,,Netherlands,KUNZITA F1,In Progress
162-312,,,,,,,,Poland,KUNZITA F1,In Progress
162-312,,,,,,,,Portugal,KUNZITA F1,In Progress
162-312,,,,,,,,Romania,KUNZITA F1,In Progress
162-312,,,,,,,,Slovakia,KUNZITA F1,In Progress
162-312,,,,,,,,Sierra Leone,KUNZITA F1,In Progress
162-312,,,,,,,,Spain,KUNZITA F1,In Progress
162-312,,,,,,,,Sweden,KUNZITA F1,In Progress
162-312,,,,,,,,China,SMYNA F1,Registered
162-312,,,,,,,,Russian Federation,LOTOS F1,Registered
162-313,Tomato,,"Indeterminate pink tomato, very vigorous plant,
mid-early. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV","Slightly flat, intensive pink color, firm, 200-220 g.",,Autumn and winter seasons in greenhouse.,"Plant: Indeterminate pink tomato, very vigorous plant,
mid-early. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV
Fruit: Slightly flat, intensive pink color, firm, 200-220 g.
Cultivation: Autumn and winter seasons in greenhouse.",,,
162-319,Tomato,,"Indeterminate round pink loose tomato, very vigorous plant, short internodes, early.","Slightly flat, pink color, firm, 200-220 g.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-B / IR: TYLCV, Ma, Mi, Mj, ToTV, Ss","Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate round pink loose tomato, very vigorous plant, short internodes, early.
Fruit: Slightly flat, pink color, firm, 200-220 g.
Cultivation: Autumn, winter and spring seasons in greenhouse.",Cyprus,GL?AH  F1,In Progress
162-319,,,,,,,,Spain,KUNZITA F1,In Progress
162-319,,,,,,,,Azerbaijan,MALINA F1,In Progress
162-319,,,,,,,,Kyrgyzstan,ESMERALDA F1,In Progress
162-319,,,,,,,,Kazakhstan,PINK STAR F1,In Progress
162-322,Tomato,,"Indeterminate pink tomato,mid.strong and open plant, HR: ToMV, Va,Vd, FOL 0-1,FOR, Cf9 / IR:TYLCV","Globe shape, 200-220 gr,",,Autumn and Spring season in greenhouse,"Plant: Indeterminate pink tomato,mid.strong and open plant, HR: ToMV, Va,Vd, FOL 0-1,FOR, Cf9 / IR:TYLCV
Fruit: Globe shape, 200-220 gr,
Cultivation: Autumn and Spring season in greenhouse",,,
162-323,Tomato,,"Indeterminate pink tomato,strong plant, big size- dark green leaves, HR: ToMV, Va,Vd, FOL 0,1, Cf9 / IR:TYLCV","Globe shape,200-220 gr, pink colour",,"Autumn, Winter and Spring season in greenhouse","Plant: Indeterminate pink tomato,strong plant, big size- dark green leaves, HR: ToMV, Va,Vd, FOL 0,1, Cf9 / IR:TYLCV
Fruit: Globe shape,200-220 gr, pink colour
Cultivation: Autumn, Winter and Spring season in greenhouse",,,
162-328,Tomato,,"Indeterminate pink tomato, very vigorous, very good cold tolerance,  early, high production.","5-6 fruits per cluster, round, pink color, firm, 250 gr.","HR: ToMV, Vd, Va, Fol 0-1, For, Ff A-E / IR: TYLCV, Ss","Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate pink tomato, very vigorous, very good cold tolerance,  early, high production.
Fruit: 5-6 fruits per cluster, round, pink color, firm, 250 gr.
Cultivation: Autumn, winter and spring seasons in greenhouse.",United States,GUILLEMOT F1,In Progress
162-328,,,,,,,,Kosovo,PINK PANTER  F1,In Progress
162-328,,,,,,,,Azerbaijan,SEDEF F1,In Progress
162-328,,,,,,,,Uzbekistan,ZEYNAP F1,In Progress
162-328,,,,,,,,Azerbaijan,PEMBE PANTER F1,In Progress
162-328,,,,,,,,Cyprus,PEMBE PANTER F1,In Progress
162-328,,,,,,,,China,FIACRE F1,In Progress
162-328,,,,,,,,Austria,PINK PANTHER F1,In Progress
162-328,,,,,,,,Belgium,PINK PANTHER F1,In Progress
162-328,,,,,,,,Cyprus,PINK PANTHER F1,In Progress
162-328,,,,,,,,Czech Republic,PINK PANTHER F1,In Progress
162-328,,,,,,,,Denmark,PINK PANTHER F1,In Progress
162-328,,,,,,,,Estonia,PINK PANTHER F1,In Progress
162-328,,,,,,,,Finland,PINK PANTHER F1,In Progress
162-328,,,,,,,,France,PINK PANTHER F1,In Progress
162-328,,,,,,,,Germany,PINK PANTHER F1,In Progress
162-328,,,,,,,,Hungary,PINK PANTHER F1,In Progress
162-328,,,,,,,,Ireland,PINK PANTHER F1,In Progress
162-328,,,,,,,,Italy,PINK PANTHER F1,In Progress
162-328,,,,,,,,Latvia,PINK PANTHER F1,In Progress
162-328,,,,,,,,Lithuania,PINK PANTHER F1,In Progress
162-328,,,,,,,,Luxembourg,PINK PANTHER F1,In Progress
162-328,,,,,,,,Malta,PINK PANTHER F1,In Progress
162-328,,,,,,,,Poland,PINK PANTHER F1,In Progress
162-328,,,,,,,,Portugal,PINK PANTHER F1,In Progress
162-328,,,,,,,,Slovakia,PINK PANTHER F1,In Progress
162-328,,,,,,,,Sierra Leone,PINK PANTHER F1,In Progress
162-328,,,,,,,,Spain,PINK PANTHER F1,In Progress
162-328,,,,,,,,Sweden,PINK PANTHER F1,In Progress
162-328,,,,,,,,Belarus,PINK NUGGETS F1,Registered
162-328,,,,,,,,Netherlands,PINK PANTHER F1,Registered
162-328,,,,,,,,Poland,PINK PANTHER F1,Registered
162-328,,,,,,,,Bulgaria,PINK PANTHER F1,Registered
162-328,,,,,,,,Greece,PINK PANTHER F1,Registered
162-328,,,,,,,,Albania,PINK PANTHER F1,Registered
162-328,,,,,,,,Romania,PINK PANTHER F1,Registered
162-328,,,,,,,,Ukraine,PINK NUGGETS F1,Registered
162-328,,,,,,,,Russian Federation,PINK NUGGETS F1,Registered
162-332,Tomato,,"Indeterminate pink tomato, vigorous, dark green leaves, short internodes, very early.","Slightly flat, pink color, very firm, high tolerance agianst cracking, 250 gr, high quality.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-B / IR: TYLCV, Ma, Mi, Mj, Ss, ToTV",Autumn and spring seasons in greenhouse and tunnels.,"Plant: Indeterminate pink tomato, vigorous, dark green leaves, short internodes, very early.
Fruit: Slightly flat, pink color, very firm, high tolerance agianst cracking, 250 gr, high quality.
Cultivation: Autumn and spring seasons in greenhouse and tunnels.",Albania,162-332 F1,In Progress
162-332,,,,,,,,Azerbaijan,AHU F1,In Progress
162-332,,,,,,,,Kosovo,162-332 F1,In Progress
162-332,,,,,,,,Georgia,KRISTINA F1,In Progress
162-332,,,,,,,,China,AGATE F1,In Progress
162-332,,,,,,,,Kosovo,FUCHSIA F1,In Progress
162-332,,,,,,,,Austria,FUCHSIA F1,In Progress
162-332,,,,,,,,Belgium,FUCHSIA F1,In Progress
162-332,,,,,,,,Cyprus,FUCHSIA F1,In Progress
162-332,,,,,,,,Czech Republic,FUCHSIA F1,In Progress
162-332,,,,,,,,Denmark,FUCHSIA F1,In Progress
162-332,,,,,,,,Estonia,FUCHSIA F1,In Progress
162-332,,,,,,,,Finland,FUCHSIA F1,In Progress
162-332,,,,,,,,France,FUCHSIA F1,In Progress
162-332,,,,,,,,Germany,FUCHSIA F1,In Progress
162-332,,,,,,,,Hungary,FUCHSIA F1,In Progress
162-332,,,,,,,,Ireland,FUCHSIA F1,In Progress
162-332,,,,,,,,Italy,FUCHSIA F1,In Progress
162-332,,,,,,,,Latvia,FUCHSIA F1,In Progress
162-332,,,,,,,,Lithuania,FUCHSIA F1,In Progress
162-332,,,,,,,,Luxembourg,FUCHSIA F1,In Progress
162-332,,,,,,,,Malta,FUCHSIA F1,In Progress
162-332,,,,,,,,Netherlands,FUCHSIA F1,In Progress
162-332,,,,,,,,Poland,FUCHSIA F1,In Progress
162-332,,,,,,,,Portugal,FUCHSIA F1,In Progress
162-332,,,,,,,,Slovakia,FUCHSIA F1,In Progress
162-332,,,,,,,,Sierra Leone,FUCHSIA F1,In Progress
162-332,,,,,,,,Spain,FUCHSIA F1,In Progress
162-332,,,,,,,,Sweden,FUCHSIA F1,In Progress
162-332,,,,,,,,Georgia,MELISSA F1,In Progress
162-332,,,,,,,,Kazakhstan,FORZE F1,In Progress
162-332,,,,,,,,China,SHARILAN F1,In Progress
162-332,,,,,,,,Belarus,PINK HIT F1,Registered
162-332,,,,,,,,Albania,I PINK F1,Registered
162-332,,,,,,,,Bulgaria,FUCHSIA F1,Registered
162-332,,,,,,,,Greece,FUCHSIA F1,Registered
162-332,,,,,,,,Romania,FUCHSIA F1,Registered
162-332,,,,,,,,Poland,FUCHSIA F1,Registered
162-332,,,,,,,,Georgia,KRISTINA F1,In Progress
162-332,,,,,,,,Georgia,MELISSA F1,In Progress
162-332,,,,,,,,Azerbaijan,AHU F1,In Progress
162-332,,,,,,,,Uzbekistan,ZGE F1,In Progress
162-332,,,,,,,,Kazakhstan,FORZE F1,In Progress
162-332,,,,,,,,Turkmenistan,SEMA F1,Registered
162-332,,,,,,,,Russian Federation,PINK HIT F1,Registered
162-332,,,,,,,,Ukraine,PINK HIT F1,Registered
162-332,,,,,,,,Belarus,PINK ROSE F1,Registered
